,Words,Frequency
0,the,1077
1,to,1208
2,a,671
3,and,790
4,i,195
5,of,702
6,you,1089
7,is,376
8,that,782
9,in,409
10,it,341
11,for,381
12,but,146
13,on,265
14,be,239
15,have,223
16,with,377
17,not,306
18,are,164
19,this,176
20,if,282
21,they,187
22,was,163
23,as,120
24,just,140
25,or,167
26,like,119
27,my,65
28,so,109
29,your,545
30,at,116
31,he,268
32,can,75
33,what,158
34,would,108
35,all,105
36,about,137
37,do,111
38,an,117
39,people,136
40,from,118
41,get,118
42,one,116
43,more,74
44,we,22
45,no,89
46,when,105
47,out,176
48,because,103
49,up,141
50,will,58
51,think,48
52,there,69
53,has,70
54,their,138
55,by,81
56,me,56
57,how,107
58,some,82
59,his,228
60,them,166
61,who,42
62,than,76
63,really,94
64,even,65
65,only,57
66,then,36
67,had,65
68,know,64
69,also,31
70,good,58
71,other,62
72,any,64
73,been,66
74,time,93
75,make,89
76,were,57
77,much,40
78,which,9
79,see,39
80,being,103
81,could,57
82,want,66
83,still,34
84,going,127
85,she,348
86,should,58
87,go,44
88,why,45
89,her,425
90,way,73
91,into,70
92,most,28
93,him,188
94,very,36
95,its,8
96,well,32
97,need,52
98,something,76
99,same,33
100,now,32
101,where,27
102,say,27
103,did,56
104,those,35
105,got,51
106,over,59
107,never,32
108,game,1
109,first,15
110,actually,22
111,right,45
112,use,12
113,after,39
114,lot,30
115,pretty,20
116,back,44
117,too,12
118,take,44
119,better,32
120,sure,29
121,off,39
122,someone,77
123,every,20
124,does,34
125,these,22
126,new,10
127,things,46
128,said,28
129,thing,66
130,our,12
131,many,9
132,us,3
133,probably,17
134,before,34
135,work,28
136,while,35
137,look,21
138,down,28
139,two,22
140,always,12
141,made,29
142,am,5
143,since,21
144,feel,27
145,might,35
146,here,22
147,point,34
148,around,28
149,few,11
150,years,18
151,getting,54
152,find,16
153,best,26
154,maybe,2
155,last,4
156,anything,50
157,mean,21
158,play,1
159,long,12
160,bad,35
161,without,23
162,great,4
163,used,8
164,yeah,7
165,doing,66
166,give,20
167,though,3
168,enough,12
169,different,11
170,little,32
171,through,25
172,may,16
173,both,33
174,own,51
175,post,9
176,put,17
177,makes,27
178,shit,17
179,love,8
180,try,15
181,keep,45
182,having,47
183,year,15
184,ever,26
185,another,14
186,trying,46
187,big,6
188,day,25
189,saying,9
190,least,24
191,come,20
192,part,24
193,nothing,30
194,less,20
195,everyone,26
196,money,33
197,already,21
198,guy,35
199,thought,15
200,against,9
201,hard,9
202,end,20
203,bit,17
204,person,47
205,kind,34
206,far,6
207,until,23
208,yes,10
209,fucking,13
210,making,34
211,such,17
212,seems,6
213,using,3
214,read,2
215,old,10
216,games,0
217,life,57
218,able,18
219,reason,30
220,man,6
221,real,13
222,tell,30
223,high,10
224,let,27
225,once,10
