,Words,t1,Words,frequency
0,the,0,gt,96
1,to,0,she,348
2,a,0,made,29
3,and,0,a,671
4,i,0,big,6
5,of,0,deal,14
6,you,0,about,137
7,is,0,how,107
8,that,0,i,195
9,in,0,didnt,4
10,it,0,trust,11
11,for,0,hernot,1
12,but,0,without,23
13,on,0,damn,2
14,be,0,good,58
15,have,0,reason,30
16,with,0,to,1208
17,not,0,be,239
18,are,0,suspicious,2
19,this,0,and,790
20,if,0,start,25
21,they,0,asking,15
22,was,0,questions,3
23,as,0,said,28
24,just,0,it,341
25,or,0,was,163
26,like,0,for,381
27,my,0,girlfriend,8
28,so,0,of,702
29,your,0,hersdid,1
30,at,0,even,65
31,he,0,identify,1
32,can,0,which,9
33,what,0,friend,25
34,would,0,or,167
35,all,0,is,376
36,about,0,this,176
37,do,0,one,116
38,an,0,those,35
39,people,0,generic,1
40,from,0,friends,28
41,get,0,that,782
42,one,0,are,164
43,more,0,handy,1
44,we,0,deflecting,1
45,no,0,during,10
46,when,0,an,117
47,out,0,argument,9
48,because,0,because,103
49,up,0,thought,15
50,will,0,looked,7
51,think,0,goodbecause,1
52,there,0,wants,18
53,has,0,look,21
54,their,0,you,1089
55,by,0,right,45
56,me,0,so,109
57,how,0,why,45
58,some,0,important,15
59,his,0,her,425
60,them,0,point,34
61,who,0,out,176
62,than,0,wasn't,20
63,really,0,any,64
64,even,0,prompting,1
65,only,0,from,118
66,then,0,couldn't,14
67,had,0,abide,1
68,know,0,the,1077
69,also,0,idea,9
70,good,0,thinking,8
71,other,0,sent,6
72,any,0,nude,1
73,been,0,pic,1
74,time,0,your,545
75,make,0,own,51
76,were,0,enjoyment,1
77,much,0,if,282
78,which,0,were,57
79,see,0,id,3
80,being,0,worried,4
81,could,0,losing,5
82,want,0,meand,1
83,still,0,real,13
84,going,0,whole,23
85,she,0,thing,66
86,should,0,comes,6
87,go,0,but,146
88,why,0,with,377
89,her,0,spin,2
90,way,0,she's,114
91,into,0,now,32
92,most,0,put,17
93,him,0,on,265
94,very,0,making,34
95,its,0,fault,2
96,well,0,all,105
97,need,0,pain,12
98,something,0,cause,7
99,same,0,going,127
100,now,0,screw,2
101,where,0,around,28
102,say,0,blame,7
103,did,0,yourself,32
104,those,0,just,140
105,got,0,like,119
106,over,0,already,21
107,never,0,does,34
108,game,0,no,89
109,first,0,you're,112
110,actually,0,not,306
111,right,0,asshole,46
112,use,0,here,22
113,after,0,gf,14
114,lot,0,times,14
115,pretty,0,then,36
116,back,0,some,82
117,too,0,totally,3
118,take,0,laid,5
119,better,0,conditions,6
120,sure,0,they,187
121,off,0,ok,5
122,someone,0,violated,1
123,every,0,time,93
124,does,0,contest,3
125,these,0,before,34
126,new,0,come,20
127,things,0,onto,1
128,said,0,property,2
129,thing,0,into,70
130,our,0,house,19
131,many,0,after,39
132,us,0,get,118
133,probably,0,caught,5
134,before,0,pull,4
135,work,0,stops,2
136,while,0,roll,1
137,look,0,rationalizations,1
138,down,0,kinds,6
139,two,0,attempts,2
140,always,0,invalidate,1
141,made,0,concerns,3
142,am,0,blaming,6
143,since,0,their,138
144,feel,0,breaking,11
145,might,0,rules,7
146,here,0,agreed,6
147,point,0,picked,4
148,around,0,up,141
149,few,0,when,105
150,years,0,only,57
151,getting,0,as,120
152,find,0,weren't,8
153,best,0,at,116
154,maybe,0,least,24
155,last,0,halfway,2
156,anything,0,there,69
157,mean,0,them,166
158,play,0,constantly,9
159,long,0,smoking,1
160,bad,0,probably,17
161,without,0,getting,54
162,great,0,half,14
163,used,0,pack,1
164,yeah,0,day,25
165,doing,0,secondhand,1
166,give,0,smoke,4
167,though,0,suggest,4
168,enough,0,bad,35
169,different,0,since,21
170,little,0,had,65
171,through,0,presence,4
172,may,0,mind,14
173,both,0,step,5
174,own,0,outside,4
175,post,0,that's,62
176,put,0,enabling,4
177,makes,0,shouldn't,18
178,shit,0,do,111
179,love,0,have,223
180,try,0,ask,16
181,keep,0,him,188
182,having,0,soon,8
183,year,0,show,7
184,ever,0,messages,4
185,another,0,his,228
186,trying,0,very,36
187,big,0,he,268
188,day,0,should,58
189,saying,0,done,30
190,least,0,call,16
191,come,0,person,47
192,part,0,say,27
193,nothing,0,something,76
194,less,0,along,11
195,everyone,0,lines,4
196,money,0,message,3
197,already,0,love,8
198,guy,0,carrying,2
199,thought,0,my,65
200,against,0,child,29
201,hard,0,threaten,1
202,end,0,both,33
203,bit,0,lives,11
204,person,0,apology,7
205,kind,0,can,75
206,far,0,make,89
207,until,0,i'm,50
208,yes,0,don't,117
209,fucking,0,ever,26
210,making,0,contact,9
211,such,0,me,56
212,seems,0,family,50
213,using,0,again,23
214,read,0,in,409
215,old,0,bf's,1
216,games,0,place,19
217,life,0,would,108
218,able,0,been,66
219,reason,0,physical,2
220,man,0,confrontation,2
221,real,0,likely,20
222,tell,0,violence,3
223,high,0,ensued,1
224,let,0,fact,7
225,once,0,he's,85
226,world,0,prodding,1
227,believe,0,taking,36
228,next,0,action,2
229,team,0,approaches,1
230,start,0,absolute,1
231,anyone,0,minimum,2
232,either,0,warranted,2
233,fuck,0,things,46
234,help,0,nor,7
235,fact,0,bode,1
236,between,0,well,32
237,everything,0,future,7
238,free,0,relationship,58
239,done,0,life,57
240,looking,0,literally,6
241,show,0,danger,2
242,seen,0,what,158
243,whole,0,doing,66
244,dont,0,prefer,2
245,each,0,saunter,1
246,oh,0,over,59
247,problem,0,excuse,6
248,stuff,0,did,56
249,please,0,electrocuted,1
250,top,0,set,9
251,away,0,ablaze,1
252,idea,0,consider,9
253,talking,0,alternative,2
254,gets,0,approach,5
255,looks,0,situation,15
256,went,0,demanded,1
257,understand,0,level,13
258,almost,0,response,11
259,run,0,concern,4
260,again,0,safety,7
261,buy,0,guy,35
262,change,0,designed,2
263,else,0,prongs,1
264,means,0,break,8
265,case,0,off,39
266,full,0,socket,1
267,pay,0,easily,1
268,instead,0,more,74
269,wrong,0,concerned,3
270,times,0,functionality,1
271,stop,0,durability,1
272,live,0,than,76
273,place,0,looking,14
274,playing,0,pretty,20
275,definitely,0,comments,4
276,rather,0,apple's,1
277,de,0,designs,1
278,remember,0,never,32
279,care,0,taken,2
280,call,0,spot,3
281,likely,0,where,27
282,left,0,need,52
283,nice,0,help,23
284,set,0,there's,49
285,especially,0,two,22
286,agree,0,people,136
287,im,0,pointing,2
288,power,0,steps,4
289,level,0,leading,2
290,guess,0,inadvisable,1
291,usually,0,doesn't,55
292,under,0,necessarily,2
293,second,0,continue,6
294,guys,0,repeat,2
295,s,0,exact,2
296,quite,0,got,51
297,hope,0,difficult,7
298,exactly,0,demanding,10
299,based,0,who,42
300,single,0,started,2
301,job,0,helping,6
302,unless,0,also,31
303,basically,0,efforts,3
304,found,0,supreme,1
305,hit,0,territory,2
306,players,0,wonder,1
307,seem,0,douche,1
308,literally,0,husband,25
309,completely,0,went,17
310,small,0,quiverfull,2
311,system,0,movement,2
312,women,0,understands,2
313,god,0,each,13
314,must,0,putting,16
315,side,0,wife's,5
316,comes,0,stake,1
317,however,0,aware,4
318,wanted,0,hardship,1
319,support,0,through,25
320,during,0,support,22
321,started,0,repeating,3
322,half,0,same,33
323,worth,0,worse,15
324,came,0,obviously,11
325,question,0,wife,31
326,watch,0,team,1
327,hate,0,suited,1
328,state,0,other,62
329,ask,0,astronomical,1
330,comment,0,levels,1
331,trump,0,self,7
332,edit,0,centeredness,1
333,black,0,importance,1
334,fun,0,neither,8
335,needs,0,stop,26
336,video,0,destructive,2
337,white,0,behaviors,4
338,non,0,starting,3
339,yet,0,towards,8
340,says,0,environment,3
341,TRUE,0,unless,4
342,matter,0,consequences,21
343,took,0,grow,5
344,x,0,really,94
345,name,0,question,5
346,called,0,whether,9
347,school,0,it's,138
348,course,0,worth,6
349,often,0,keep,45
350,thanks,0,world,14
351,taking,0,record,6
352,sounds,0,children,7
353,story,0,born,3
354,working,0,mother,4
355,mind,0,kids,52
356,talk,0,births,1
357,issue,0,lots,4
358,days,0,twins,2
359,home,0,know,64
360,government,0,try,15
361,goes,0,having,47
362,check,0,makes,27
363,k,0,feel,27
364,couple,0,high,10
365,car,0,percentage,1
366,easy,0,go,44
367,friends,0,military,7
368,entire,0,serious,6
369,played,0,issues,12
370,low,0,gives,6
371,super,0,results,3
372,wait,0,many,9
373,simply,0,cases,1
374,ones,0,surviving,1
375,whatever,0,goes,10
376,example,0,war,3
377,open,0,better,32
378,saw,0,killed,7
379,number,0,reasons,5
380,move,0,veterans,1
381,thank,0,less,20
382,sense,0,population,6
383,player,0,yet,9
384,others,0,homeless,3
385,sometimes,0,being,103
386,kids,0,abuse,6
387,line,0,isn't,36
388,given,0,tolerate,1
389,kill,0,places,3
390,men,0,won't,14
391,huge,0,argue,3
392,close,0,actually,22
393,deal,0,told,28
394,thinking,0,fill,2
395,yourself,0,send,5
396,told,0,inthengt,1
397,similar,0,back,44
398,turn,0,next,12
399,heard,0,dayyou,1
400,actual,0,responded,1
401,amount,0,by,81
402,gonna,0,i'd,8
403,week,0,hiring,2
404,hell,0,otherwise,4
405,sorry,0,defeating,1
406,honestly,0,purpose,4
407,possible,0,process,3
408,add,0,will,58
